SL No,Dispo_No,Dispo_Date,PO_No,Mkt_Ref_No,Style_No,color,Dispo Qty(Yds),PO_Qty,End_Buyer,garments_name,Process_Type,fabric_type,Weave_Type,composition,Total_Ends,Warp_Count,Weft Count,finish_type,construction,Dispo Grey Yarn Req (Warp),Dispo Grey Yarn Req (Weft),Dispo Dyed Yarn Req (Warp),Dispo Dyed Yarn Req (Weft),dispo_grey_qty,Req Grey Fabrics(YDS),Color Warp,Color Weft,Reed No,finish_width,Warp Length,Receive Warp Length,Remining Warp Length,Warp Plane,Acc.Holder,Total Grey Yarn Issued,S/W Total Yarn Issued Qty,Warp Yarn Consumption,Weft Yarn Consumption,DO No,DO Qty,Delivery Qty,Remarks,Short Excess Production,Print,Sample Qty.,Dispo Ref.,Type,Excess Dispo,Excess Qty,1st Gray Receive,Full Gray Receive,Hand Loom Delivery,Sample Delivery,PP Sample,Full Delivery,Test Sample,PP Sample,1st Delivery,2nd Delivery,3rd Delivery,Full Qty Delivery,Hanger,Dye Lot,ppsample,1st Delivery,2nd Delivery,Full Qty Delivery,3rd  Delivery,,,
11,104790,07 Aug 2023,210600993,P200503832,,White/RFD/RFP,"99,999.70 ","200,000.00 ",STREET ONE -TMS,STREET ONE -TMS,White/RFD/RFP,White/Solid/Print,Plain,100% Lenzing Viscose,"4,608.00 ",30 Viscose,30 Viscose,RFD/RFP,80X68/30VisX30Vis,"10,987.92 ","11,406.76 ","10,987.92 ","11,406.76 ","111,512.00 ","121,950.64 ",1,1,64/2,72,"118,529.11 ",0.00 ,"118,529.11 ","106,400.00 ",Md. Arifur Rahman,"22,394.68 ",0.00 ,"10,987.92 ","9,706.76 ",,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,13 Jul 2021,,,,,,,,,,,,,,,
12,105854,07 Aug 2023,220300395R-1,P220100140,,DK NAVY,"47,025.23 ","11,500.00 ",M&S,MILLENNIUM TEXTILES (SOUTHERN) LTD,S/D,Solid,Plain,100% BCI Cotton,"6,834.00 ",40,40,Face Side Peach,120(118)x80(78)/40x40,"5,753.90 ","3,994.90 ","5,753.90 ","3,994.90 ","50,000.00 ","54,680.50 ",1,1,102/2,67,"56,747.25 ",0.00 ,"56,747.25 ","56,747.00 ",Rakibul,"9,748.80 ",0.00 ,"5,753.90 ","3,994.90 ",,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,24 Mar 2022,24 Mar 2022,,,,08 Apr 2022,,,,,,,,,,
13,105977,07 Aug 2023,220400565,P220404355,,White + White With Print + S/D + S/D With Print.,"106,583.23 ","500,000.00 ",TEMA,TEMA,S/D + All Over Print,Solid/Print,Plain,100% Cotton,"4,166.00 ",30 Slub,30 Slub,Soft/RFD,70x62/30Slubx30Slub,"10,098.73 ","10,708.44 ","10,098.73 ","10,708.44 ","113,326.00 ","123,934.45 ",1,1,56/2,74.39,"120,495.03 ",0.00 ,"120,495.03 ","52,000.00 ",Md. Saddam Hossain,"20,807.17 ",0.00 ,"4,500.00 ","8,000.00 ",,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,13 May 2022,,,,,,,,,,
14,105978,07 Aug 2023,220400565,P220404355,,White + White With Print + S/D + S/D With Print.,"104,111.67 ","500,000.00 ",TEMA,TEMA,S/D + All Over Print,Solid/Print,Plain,100% Cotton,"4,166.00 ",30 Slub,30 Slub,Soft/RFD,70x62/30Slubx30Slub,"10,034.56 ","10,640.42 ","10,034.56 ","10,640.42 ","110,698.00 ","121,060.44 ",1,1,56/2,74.39,"117,700.87 ",0.00 ,"117,700.87 ","113,950.00 ",Md. Saddam Hossain,"20,674.98 ",0.00 ,"9,850.00 ","10,640.42 ",,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,13 May 2022,,,,,,,,,,
15,105979,07 Aug 2023,220400565,P220404355,,White + White With Print + S/D + S/D With Print.,"104,751.43 ","500,000.00 ",TEMA,TEMA,S/D + All Over Print,Solid/Print,Plain,100% Cotton,"4,166.00 ",30 Slub,30 Slub,Soft/RFD,70x62/30Slubx30Slub,"10,096.28 ","10,705.80 ","10,096.28 ","10,705.80 ","111,378.00 ","121,804.09 ",1,1,56/2,74.39,"118,424.15 ",0.00 ,"118,424.15 ","118,000.00 ",Md. Saddam Hossain,"20,802.08 ",0.00 ,"9,850.00 ","10,705.80 ",,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,13 May 2022,,,,,,,,,,
16,105980,07 Aug 2023,220400565,P220404355,,White + White With Print + S/D + S/D With Print.,"105,063.11 ","500,000.00 ",TEMA,TEMA,S/D + All Over Print,Solid/Print,Plain,100% Cotton,"4,166.00 ",30 Slub,30 Slub,Soft/RFD,70x62/30Slubx30Slub,"10,126.29 ","10,737.67 ","10,126.29 ","10,737.67 ","111,709.00 ","122,166.08 ",1,1,56/2,74.39,"118,776.51 ",0.00 ,"118,776.51 ",0.00 ,Md. Saddam Hossain,"20,863.96 ",0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,13 May 2022,,,,,,,,,,
17,105981,07 Aug 2023,220400565,P220404355,,White + White With Print + S/D + S/D With Print.,"61,083.59 ","500,000.00 ",TEMA,TEMA,S/D + All Over Print,Solid/Print,Plain,100% Cotton,"4,166.00 ",30 Slub,30 Slub,Soft/RFD,70x62/30Slubx30Slub,"5,887.43 ","6,242.88 ","5,887.43 ","6,242.88 ","64,948.00 ","71,027.78 ",1,1,56/2,74.39,"69,056.54 ",0.00 ,"69,056.54 ",0.00 ,Md. Saddam Hossain,"12,130.31 ",0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,13 May 2022,,,,,,,,,,
18,106253,07 Aug 2023,220400565,P220404354,,White + White With Print + S/D + S/D With Print.,"28,871.30 ","200,000.00 ",TEMA,TEMA,S/D + All Over Print,Solid/Print,Plain,100% Cotton,"8,208.00 ",50,50,Ready for Print,144x80/50x50,"3,347.30 ","1,930.15 ","3,347.30 ","1,930.15 ","30,000.00 ","32,808.30 ",1,1,126/2,65.14,"33,670.03 ",0.00 ,"33,670.03 ",0.00 ,Md. Saddam Hossain,"5,277.45 ",0.00 ,"3,347.30 ","1,930.15 ",,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,13 May 2022,,,,,,,,,,
19,106703,07 Aug 2023,221001543R-1,P221012063,,RFD,"58,212.86 ","74,616.14 ",UNIQLO,GREEN TEXTILE LIMITED,S/D,RFD,2/1 “S” Twill,97% BCI Cotton + 3% Spandex,"7,950.00 ",32,30+40D,RFD/RFP,150x60/32x(30+40D),"10,732.27 ","6,102.68 ","10,732.27 ","6,102.68 ","64,915.00 ","70,991.69 ",1,1,74/3,71.62,"72,790.57 ",0.00 ,"72,790.57 ",0.00 ,Nazrul Islam,"16,834.95 ",0.00 ,"2,732.27 ","2,292.44 ",,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,06 Nov 2022,01 Dec 2022,06 Dec 2022,11 Dec 2022,,,,,,,,,,
20,106840,09 Aug 2023,220500628,P220505100,,RFD,"17,206.86 ","180,000.00 ",H&M,BANDO DESIGN LTD.,S/D,Solid,Plain,100% BCI Cotton,"7,670.00 ",40,40,Ready for Dyeing,133x72/40x40,"2,389.86 ","1,308.20 ","2,389.86 ","1,308.20 ","18,295.00 ","20,007.59 ",1,1,118/2,65,"21,000.17 ",0.00 ,"21,000.17 ","20,950.00 ",MAHRAZ,"3,698.06 ",0.00 ,"2,389.86 ","1,308.20 ",,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,28 May 2022,,,,,,,,,,,,,,,
21,106850,26 Jul 2023,221201785,P221113249,043EE2F320,E100 White (Pantone# 11-0601 TCX),"3,550.00 ","3,550.00 ",ESPRIT (DEKKO),DEKKO READYWEARS LTD.,S/D,,Plain,100% BCI Cotton,"7,670.00 ",40,40,Regular,133x72/40x40,0.00 ,0.00 ,0.00 ,0.00 ,"3,689.00 ","4,034.33 ",1,1,118/2,65,0.00 ,0.00 ,0.00 ,0.00 ,Md. Zahid Chowdhury,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,11 Dec 2022,,,,18 Dec 2022,,,,,,,,,,
22,106927,07 Aug 2023,221201844,P221214383,XM0XM02573- EO/ STRETCH POPLIN SF - N,Greige,"34,999.89 ","65,000.00 ",Tommy Hilfiger (Dekko),DEKKO GARMENTS LIMITED,S/D,Solid,Plain,97% BCI Cotton + 3% Spandex,"9,324.00 ",50,(50+40D),RFD,170x72/50x(50+40D),"4,745.80 ","2,591.68 ","4,745.80 ","2,591.68 ","37,214.00 ","40,697.60 ",1,1,84/3,74,"42,666.76 ",0.00 ,"42,666.76 ","42,665.00 ",Thakur Shahreer Kabir,"7,337.48 ",0.00 ,"4,743.00 ","2,500.00 ",,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,02 Jan 2023,,,,,,,,,,
23,106934,07 Aug 2023,220500628,P220505100,,RFD,"17,206.86 ","180,000.00 ",H&M,BANDO DESIGN LTD.,S/D,Solid,Plain,100% BCI Cotton,"7,670.00 ",40,40,Ready for Dyeing,133x72/40x40,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1,1,118/2,65,0.00 ,0.00 ,0.00 ,0.00 ,MAHRAZ,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,28 May 2022,,,,,,,,,,,,,,,
24,106935,07 Aug 2023,220500628,P220505100,,RFD,"75,672.34 ","180,000.00 ",H&M,BANDO DESIGN LTD.,S/D,Solid,Plain,100% BCI Cotton,"7,670.00 ",40,40,Ready for Dyeing,133x72/40x40,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1,1,118/2,65,0.00 ,0.00 ,0.00 ,0.00 ,MAHRAZ,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,28 May 2022,,,,,,,,,,,,,,,
25,106970,09 Sep 2023,221201812,P210607079,PM-BAS0-0220 Non Iron Basic Shirt,Dark Blue (NAVY),"1,738.84 ","13,000.00 ",ZALANDO,Best Seller (Fashion Step Ltd),S/D,Solid,Plain,50% BCI Cotton +50% Organic Cotton,"7,670.00 ",40,40,Soft,133(130)x72(70)/40x40,0.00 ,0.00 ,0.00 ,0.00 ,"1,807.00 ","1,976.15 ",1,1,118/2,65,0.00 ,0.00 ,0.00 ,0.00 ,A HASAN,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,11 Dec 2022,11 Dec 2022,,,,13 Dec 2022,,,,,,,,,,
26,106997,07 Aug 2023,221201905,P211215879,,White/RFD/RFP,"19,999.94 ","60,000.00 ",STREET ONE -TMS,STREET ONE -TMS,WHITE,White/Solid/Print,2/1 “S” Twill,98% Cotton +2% Spandex,"9,585.00 ",50,(50+40D)+50,Soft/RFD/RFP,176X100/50X{(50+40D)+50},"2,595.95 ","1,895.10 ","2,595.95 ","1,895.10 ","20,782.00 ","22,727.40 ",1,2,90/3,71,"22,817.11 ",0.00 ,"22,817.11 ","22,800.00 ",lukman Hossain,"4,491.05 ",0.00 ,"2,595.95 ","1,895.10 ",,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,11 Jan 2023,,,,,,,,,,
27,107187,12 Jul 2023,230100178R-1,P221214288,,"Powder Blue {Need bluish greener tone, Matt look but not glossy.}","2,669.00 ","2,669.00 ",BONPRIX,LOUIETEX MANUFACTURING LIMITED,S/D,Solid,Plain,100% Lenzing ecovero viscose,"4,608.00 ",30 Viscose,30 Viscose,Soft,80x68/30x30,0.00 ,0.00 ,0.00 ,0.00 ,"2,976.00 ","3,254.58 ",1,1,64/2,72,0.00 ,0.00 ,0.00 ,0.00 ,Taufiqul,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,18 Feb 2023,18 Feb 2023,,,,23 Feb 2023,,,,,,,,,,
28,107271,07 Aug 2023,230200269,P211215879,,White/RFD/RFP,"9,999.97 ","40,000.00 ",STREET ONE -TMS,STREET ONE -TMS,White/RFD/RFP,White/Solid/Print,2/1 “S” Twill,98% Cotton +2% Spandex,"9,585.00 ",50,(50+40D)+50,Soft/RFD/RFP,176X100/50X{(50+40D)+50},"1,324.54 ",952.43 ,"1,324.54 ",952.43 ,"10,391.00 ","11,363.70 ",1,2,90/3,71,"11,466.47 ",0.00 ,"11,466.47 ","11,465.00 ",lukman Hossain,"2,276.97 ",0.00 ,"1,324.54 ",952.43 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,25 Feb 2023,,,,,,,,,,
29,107400,13 Jul 2023,230200417,P220403655,,T06000 (16-June),"17,773.35 ","2,810.00 ",WRANGLER-KONTOOR,Radisson Garments Ltd.,S/D,Solid,Dobby,70% CmiA Cotton 30% Conventional Cotton,"6,612.00 ",32,32,As Per Swatch,136x68/32x32,0.00 ,"1,765.78 ",0.00 ,"1,765.78 ","19,820.00 ","21,675.35 ",1,1,99/2,66.79,0.00 ,0.00 ,0.00 ,0.00 ,Md. Jubaidur Rahman,"1,765.78 ",0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,ExcessFabric,0.00 ,0.00 ,,,,,,,29 Mar 2023,29 Mar 2023,,,,13 Apr 2023,,,,,,,,,,
30,107458,07 Aug 2023,230300440R-1,P230303223,TEMA CORE QUALITY,GREIGE,"19,999.94 ","50,000.00 ",LCAWAIKIKI(TEMA),TEMA,S/D,Solid,Plain,100% Cotton,"7,670.00 ",40,40,RFD/RFP,133x72/40x40,0.00 ,0.00 ,0.00 ,0.00 ,"21,265.00 ","23,255.62 ",1,1,118/2,65,0.00 ,0.00 ,0.00 ,0.00 ,Thakur Shahreer Kabir,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,31 Mar 2023,,,,,,,,,,
31,107473,06 Aug 2023,230300482,P221214712,,13825 Cool Vintage Green as 607960,200.13 ,"6,650.00 ",STREET ONE -TMS,SOUTHERN DESIGNERS LTD,S/D,Solid,Plain,100% Lenzing Viscose,"4,964.00 ",30 Viscose,30 Viscose,Soft,86X80/30X30,0.00 ,0.00 ,0.00 ,0.00 ,305.00 ,333.55 ,1,1,68/2,73,0.00 ,0.00 ,0.00 ,0.00 ,lukman Hossain,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,ExcessFabric,0.00 ,0.00 ,,,,,,,21 Mar 2023,21 Mar 2023,,,,31 Mar 2023,,,,,,,,,,
32,107474,06 Aug 2023,230300482,P221214713,,14957 Lagoon Green  as 607961,300.74 ,"14,540.00 ",STREET ONE -TMS,SOUTHERN DESIGNERS LTD,S/D,Solid,Plain,100% Lenzing Viscose,"4,964.00 ",30 Viscose,30 Viscose,Soft,86X80/30X30,0.00 ,0.00 ,0.00 ,0.00 ,393.00 ,429.79 ,1,1,68/2,73,0.00 ,0.00 ,0.00 ,0.00 ,lukman Hossain,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,ExcessFabric,0.00 ,0.00 ,,,,,,,21 Mar 2023,21 Mar 2023,,,,31 Mar 2023,,,,,,,,,,
33,107476,06 Aug 2023,230300482,P230202918,,11238 Deep Blue as 23S-00685- A,"1,830.70 ","7,315.00 ",STREET ONE -TMS,SOUTHERN DESIGNERS LTD,S/D,Solid,Plain,100% Lenzing Viscose,"4,964.00 ",30 Viscose,30 Viscose,Soft,86X80/30X30,0.00 ,0.00 ,0.00 ,0.00 ,"2,232.00 ","2,440.94 ",1,1,68/2,73,0.00 ,0.00 ,0.00 ,0.00 ,lukman Hossain,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,ExcessFabric,0.00 ,0.00 ,,,,,,,21 Mar 2023,21 Mar 2023,,,,31 Mar 2023,,,,,,,,,,
34,107629,07 Aug 2023,230300615,P230304307,Code : OMW00502,Only Greige,"49,999.85 ","100,000.00 ",EXPRESS,AKH ECO APPARELS LTD,Ready for Print,As Per CAD,Plain,97% Cotton + 3% Elastane.,"6,300.00 ",40,(40+40D),Ready for Print,110x70/40x(40+40D),"5,647.15 ","4,472.58 ","5,647.15 ","4,472.58 ","54,429.00 ","59,524.10 ",1,1,84/2,75,"60,415.77 ",0.00 ,"60,415.77 ","60,415.00 ",Shohel Rana,"10,119.73 ",0.00 ,"5,647.15 ","4,472.00 ",,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,,,,,
35,107665,15 Jul 2023,230300648R-1,P230303281,,PH230100467,"187,007.31 ","3,193.00 ",MANGO-ASMARA,ABONI FASHIONS LTD,White+All Over Print,Printed,Plain,70% BCI Cotton + 30% Linen,"4,653.00 ",30CL,30CL,Soft,80x70/30CLx30CL,"19,696.58 ","18,542.64 ","19,696.58 ","18,542.64 ","190,000.00 ","207,785.90 ",1,1,66/2,70.5,"208,607.82 ",0.00 ,"208,607.82 ",0.00 ,Md. Arifur Rahman,"38,239.22 ",0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,ExcessFabric,0.00 ,0.00 ,,,,,,,02 Apr 2023,02 Apr 2023,,,,07 Apr 2023,,,,,,,,,,
36,107671,04 Jul 2023,230300654,P221112828,,Olive,460.41 ,"3,683.00 ",BONPRIX,LOUIETEX MANUFACTURING LIMITED,S/D,Solid,Plain,100% Lenzing ecovero viscose,"5,805.00 ",40 Viscose,40 Viscose,Soft,106x80/40x40,0.00 ,0.00 ,0.00 ,0.00 ,601.00 ,657.26 ,1,1,86/2,67.5,0.00 ,0.00 ,0.00 ,0.00 ,Taufiqul,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,ExcessFabric,0.00 ,0.00 ,,,,,,,,,,,,12 Apr 2023,,,,,,,,,,
37,107706,08 Jul 2023,230400703R-1,P220911741,073EE2F319,#355 dk khaki,"2,438.75 ","2,220.00 ",ESPRIT (DEKKO),DEKKO READYWEARS LTD.,AOP,Approved Sample,Plain,100% BCI Cotton,"8,208.00 ",50,50,Regular,144x80/50x50,0.00 ,0.00 ,0.00 ,0.00 ,"2,788.00 ","3,048.98 ",1,1,126/2,65.14,0.00 ,0.00 ,0.00 ,0.00 ,Md. Zahid Chowdhury,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,ExcessFabric,0.00 ,0.00 ,,,,,,,,18 Apr 2023,,,,01 May 2023,,,,,,,,,,
38,107707,08 Jul 2023,230400703R-1,P230303906,073EE2F301,#410,"2,749.35 ","2,500.00 ",ESPRIT (DEKKO),DEKKO READYWEARS LTD.,AOP,,Plain,100% BCI Cotton,"8,208.00 ",50,50,Regular,144x80/50x50,0.00 ,0.00 ,0.00 ,0.00 ,"3,143.00 ","3,437.22 ",1,1,126/2,65.14,0.00 ,0.00 ,0.00 ,0.00 ,Md. Zahid Chowdhury,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,ExcessFabric,0.00 ,0.00 ,,,,,,,,18 Apr 2023,,,,01 May 2023,,,,,,,,,,
